freq,nrg_bal,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,FC_E,PC,NL	14.265 	13.852 	14.384 	14.179 	15.044 	14.751 	14.137 	15.661 	16.219 	16.625 	17.155 	17.182 	17.511 	17.513 	17.761 	18.302 	18.599 	19.36 	19.114 	19.073 	18.231 	19.787 	19.055 	19.169 	20.623 	20.527 	20.268 	20.398 	20.644 	20.969 	21.828 	21.318 	22.655 	22.907 
A,FC_E,PC,NO	53.25 	55.142 	55.777 	55.113 	54.173 	53.941 	52.15 	52.69 	53.037 	51.9 	53.258 	53.782 	53.132 	50.015 	50.749 	51.918 	50.501 	50.928 	51.259 	50.607 	49.388 	48.61 	49.221 	49.629 	49.674 	50.031 	50.415 	50.211 	50.751 	50.65 	51.398 	51.498 	49.911 	50.571 
A,FC_E,PC,PL	14.44 	13.165 	12.865 	12.041 	12.317 	12.659 	12.623 	13.123 	14.229 	14.383 	15.744 	15.594 	15.51 	15.662 	15.783 	15.707 	15.879 	16.328 	16.498 	15.937 	15.639 	16.423 	16.606 	17.106 	17.902 	18.058 	17.536 	16.866 	16.534 	16.802 	16.825 	16.663 	16.973 	16.611 
A,FC_E,PC,PT	17.797 	18.088 	18.062 	18.074 	17.922 	18.692 	18.504 	18.773 	18.585 	19.088 	19.168 	19.578 	19.756 	20.666 	21.094 	21.816 	22.886 	23.269 	23.66 	23.623 	24.839 	25.293 	26.311 	26.102 	25.257 	25.331 	25.505 	25.222 	25.53 	25.173 	26.24 	25.798 	25.876 	25.867 
A,FC_E,PC,RO	10.999 	11.416 	13.72 	13.065 	11.999 	12.197 	11.953 	11.987 	12.502 	13.383 	13.297 	13.991 	13.791 	13.91 	14.033 	14.166 	14.807 	15.206 	15.016 	14.85 	16.12 	16.258 	16.105 	16.15 	16.782 	17.129 	16.956 	16.725 	16.712 	16.525 	16.127 	15.662 	15.358 	15.294 
A,FC_E,PC,RS	23.122 	26.39 	31.082 	29.012 	31.785 	36.061 	26.746 	25.084 	25.806 	31.824 	34.106 	31.062 	28.981 	26.848 	23.868 	23.605 	23.53 	22.801 	25.568 	27.931 	27.251 	26.701 	27.945 	28.385 	29.355 	29.646 	28.921 	28.915 	28.592 	28.698 	27.505 	27.089 	26.255 	26.558 
A,FC_E,PC,SE	34.282 	34.302 	31.981 	31.962 	31.851 	31.705 	31.2 	31.629 	31.609 	32.097 	32.876 	34.451 	34.306 	34.164 	34.657 	35.439 	35.464 	35.446 	35.564 	35.063 	34.747 	33.42 	33.872 	33.94 	33.97 	34.071 	34.218 	34.355 	34.569 	34.208 	34.091 	34.101 	33.824 	33.167 
A,FC_E,PC,SI	21.513 	20.666 	21.565 	20.01 	20.639 	19.77 	18.318 	18.699 	19.921 	20.265 	19.915 	19.676 	21.497 	21.42 	21.864 	21.437 	22.2 	22.292 	20.122 	20.053 	20.35 	21.352 	21.785 	22.344 	23.25 	23.288 	22.84 	23.389 	23.725 	24.092 	25.041 	24.25 	23.54 	23.483 
A,FC_E,PC,SK	14.542 	15.919 	15.66 	17.019 	17.701 	18.798 	19.596 	19.041 	17.817 	19.601 	19.067 	19.254 	18.575 	19.751 	20.911 	18.888 	20.116 	20.75 	20.221 	20.571 	18.716 	20.509 	20.688 	21.338 	22.791 	22 	21.737 	21.053 	21.442 	21.147 	21.304 	20.905 	19.816 	19.914 
A,FC_E,PC,TR	10.249 	10.616 	11.33 	11.64 	12.632 	12.678 	12.771 	13.818 	15.03 	15.854 	15.123 	16.758 	16.308 	16.57 	17.389 	18.057 	18.096 	18.494 	20.097 	19.735 	20.579 	20.796 	20.953 	21.496 	21.85 	21.237 	21.722 	21.043 	22.224 	21.97 	21.995 	22.129 	22.433 	22.259 
A,FC_E,PC,UA	12.298 	11.935 	12.707 	13.778 	13.993 	13.576 	12.798 	12.942 	13.54 	13.328 	13.717 	12.851 	12.767 	13.227 	13.786 	14.43 	15.17 	14.833 	15.361 	16.2 	16.865 	17.259 	17.826 	18.153 	19.068 	21.545 	20.682 	21.315 	21.072 	21.399 	22.09 	: 	: 	: 
A,FC_E,PC,UK	18.61 	18.222 	18.594 	18.604 	18.497 	19.247 	19.126 	19.691 	19.868 	19.991 	20.292 	20.324 	20.9 	20.919 	20.987 	21.767 	21.949 	22.074 	22.1 	22.248 	21.745 	23.007 	22.32 	22.044 	22.341 	21.742 	21.456 	21.304 	21.082 	20.918 	: 	: 	: 	: 
A,FC_E,PC,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	25.573 	27.102 	26.97 	25.901 	27.252 	27.952 	28.095 	29.387 	30.154 	28.841 	29.633 	31.152 	31.535 	34.207 	32.656 	29.66 	23.227 	24.606 	25.708 	26.75 	27.599 	30.065 	33.039 	: 
A,FC_IND_CON_E,PC,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	47.891 	43.557 	38.637 	63.248 	40.487 	23.793 	48.84 	48.84 	28.869 	30.909 	58.103 	51.222 	13.546 	30.524 	69.394 	65.874 	88.559 	79.44 	85.958 	91.937 	93.805 	94.132 	94.426 	77.95 	71.868 
A,FC_IND_CON_E,PC,AT	20.294 	18.888 	16.59 	14.726 	14.341 	14.264 	13.934 	14.103 	13.737 	12.672 	11.477 	11.151 	11.453 	10.815 	10.236 	11.307 	11.323 	10.915 	8.926 	10.01 	10.648 	10.912 	10.55 	15.039 	14.762 	14.026 	15.377 	16.139 	14.748 	15.596 	16.557 	15.899 	14.885 	15.238 
A,FC_IND_CON_E,PC,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20.425 	25.162 	15 	13.844 	17.513 	26.967 	25.023 	23.192 	25.77 	: 
