freq,siec,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,C0000X0350-0370,PC,IS	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	108.360 	90.852 	105.877 	96.466 	98.112 	104.778 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	: 	: 	: 
A,C0000X0350-0370,PC,IT	93.928 	99.144 	99.054 	92.348 	95.338 	105.945 	101.969 	94.387 	98.390 	100.583 	104.619 	101.128 	95.532 	97.661 	101.121 	99.423 	99.653 	99.241 	101.813 	97.321 	100.829 	96.050 	96.642 	96.205 	98.702 	100.150 	97.519 	100.193 	100.981 	98.556 	93.027 	97.049 	102.438 	96.370 	96.542 
A,C0000X0350-0370,PC,LT	97.007 	100.000 	139.666 	51.613 	96.473 	69.086 	120.628 	82.405 	102.367 	83.029 	101.737 	90.834 	105.813 	108.156 	100.804 	101.011 	99.737 	93.904 	113.943 	83.033 	95.676 	110.947 	95.936 	107.663 	98.115 	90.642 	91.752 	107.802 	99.009 	108.103 	87.876 	91.868 	127.752 	89.861 	101.412 
A,C0000X0350-0370,PC,LU	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	102.227 	98.703 	98.005 	94.572 	106.827 	99.841 	106.764 	96.213 	100.888 	93.136 	112.456 	88.509 	98.490 	99.619 	100.569 
A,C0000X0350-0370,PC,LV	99.200 	100.000 	97.753 	88.091 	87.796 	93.061 	87.419 	109.656 	87.694 	98.541 	84.141 	70.844 	100.000 	122.423 	96.175 	97.658 	122.038 	92.160 	99.974 	94.079 	106.468 	102.285 	99.312 	91.219 	77.451 	85.185 	85.946 	88.524 	91.330 	110.791 	89.617 	93.113 	193.199 	87.080 	66.908 
A,C0000X0350-0370,PC,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	97.559 	104.310 	96.622 	103.107 	92.230 	97.473 	78.908 	114.103 	105.009 	90.080 	103.189 	81.430 	119.570 	: 	: 
A,C0000X0350-0370,PC,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-2.107 	-5.034 	-2.784 	-0.042 	-1.947 	-2.830 	-2.748 	-3.118 	-1.196 	-1.534 	-3.081 	-2.719 	-6.653 	-5.621 	-7.055 	-4.694 	-10.576 	-16.432 	: 	: 
A,C0000X0350-0370,PC,MK	7.305 	6.085 	5.844 	5.575 	3.576 	4.674 	4.942 	5.015 	12.661 	7.466 	6.624 	5.570 	5.141 	10.595 	5.943 	7.912 	9.558 	10.506 	10.199 	3.168 	9.290 	9.022 	9.517 	8.607 	11.052 	8.878 	12.743 	9.115 	13.858 	11.742 	10.649 	17.784 	14.860 	: 	: 
A,C0000X0350-0370,PC,MT	100.000 	100.000 	100.000 	100.000 	102.941 	71.154 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,C0000X0350-0370,PC,NL	99.452 	100.042 	100.055 	99.171 	100.621 	100.766 	99.220 	102.811 	101.091 	97.314 	99.394 	100.349 	99.686 	98.886 	101.018 	101.267 	98.685 	100.646 	99.178 	97.889 	101.380 	100.911 	98.932 	97.604 	102.585 	96.560 	99.554 	100.793 	99.816 	102.148 	91.911 	99.584 	102.142 	102.365 	97.072 
