freq,siec,partner,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,E7000,THRD,PC,GE	: 	: 	: 	5.42 	9.09 	7.46 	12.19 	15.51 	12.90 	15.99 	16.67 	23.31 	29.73 	: 
A,E7000,THRD,PC,HR	30.45 	24.01 	13.18 	27.76 	13.70 	26.91 	29.28 	19.50 	34.89 	16.20 	12.01 	26.09 	24.93 	21.43 
A,E7000,THRD,PC,HU	4.50 	6.42 	6.23 	9.04 	8.69 	8.82 	7.81 	6.92 	9.16 	6.25 	4.17 	6.35 	5.45 	5.06 
A,E7000,THRD,PC,IE	16.92 	11.81 	13.08 	32.03 	31.09 	18.08 	10.47 	11.19 	13.81 	15.57 	11.51 	17.33 	10.60 	20.17 
A,E7000,THRD,PC,IT	14.03 	14.73 	14.13 	12.04 	11.87 	13.09 	10.90 	9.88 	9.71 	9.72 	9.16 	9.83 	10.71 	10.38 
A,E7000,THRD,PC,LT	42.94 	43.04 	39.38 	36.05 	41.86 	35.98 	27.49 	25.01 	27.39 	31.41 	27.53 	31.51 	24.72 	13.15 
A,E7000,THRD,PC,LU	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,E7000,THRD,PC,LV	13.84 	13.41 	14.62 	17.20 	17.26 	18.27 	14.77 	11.08 	15.54 	15.90 	11.10 	9.60 	10.84 	7.24 
A,E7000,THRD,PC,MD	96.66 	76.97 	73.44 	55.54 	76.72 	97.89 	98.58 	65.67 	71.26 	79.10 	92.36 	91.60 	67.83 	79.53 
A,E7000,THRD,PC,ME	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	7.09 	0.00 	0.00 	0.00 	0.00 	0.00 
A,E7000,THRD,PC,MK	35.65 	63.60 	70.20 	59.64 	69.15 	56.09 	51.10 	63.66 	53.78 	0.00 	0.00 	0.00 	0.00 	0.00 
A,E7000,THRD,PC,MT	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,E7000,THRD,PC,NL	4.21 	10.58 	11.90 	8.83 	10.42 	10.57 	8.75 	10.36 	7.18 	5.45 	8.07 	5.07 	4.98 	4.92 
A,E7000,THRD,PC,PL	0.00 	0.44 	5.56 	5.65 	2.65 	0.22 	3.01 	2.61 	4.33 	3.44 	3.26 	1.90 	0.00 	0.50 
A,E7000,THRD,PC,PT	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,E7000,THRD,PC,RO	1.22 	1.22 	2.20 	1.43 	1.04 	0.96 	2.06 	1.97 	1.30 	3.51 	5.57 	2.71 	1.48 	3.83 
A,E7000,THRD,PC,RS	1.49 	1.34 	0.84 	4.10 	0.91 	1.66 	3.42 	1.92 	3.29 	1.51 	1.47 	1.73 	2.39 	1.56 
A,E7000,THRD,PC,SE	1.14 	2.17 	3.36 	2.41 	3.33 	2.42 	3.11 	3.00 	2.68 	1.71 	3.54 	2.12 	1.77 	1.63 
A,E7000,THRD,PC,SI	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,E7000,THRD,PC,SK	0.50 	0.29 	0.09 	0.27 	0.10 	0.10 	0.10 	0.01 	0.28 	0.05 	0.14 	0.39 	0.17 	0.89 
A,E7000,THRD,PC,XK	83.68 	0.00 	0.00 	94.56 	86.17 	82.59 	69.07 	87.09 	72.78 	74.46 	72.41 	0.00 	0.00 	0.00 
A,G3000,THRD,PC,AL	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,G3000,THRD,PC,AT	75.28 	85.31 	81.21 	74.71 	85.42 	72.60 	85.89 	87.06 	88.16 	92.45 	73.38 	51.02 	95.06 	92.66 
A,G3000,THRD,PC,BE	72.58 	66.40 	56.38 	47.84 	52.46 	60.16 	52.08 	75.98 	81.20 	83.70 	84.89 	83.59 	84.33 	83.40 
A,G3000,THRD,PC,BG	92.64 	86.09 	83.34 	90.49 	93.31 	96.75 	96.46 	97.62 	98.62 	78.37 	73.18 	84.66 	72.57 	82.43 
A,G3000,THRD,PC,CY	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,G3000,THRD,PC,CZ	85.08 	97.58 	89.00 	97.13 	96.27 	95.09 	95.71 	97.49 	96.84 	97.85 	86.04 	92.13 	97.50 	97.74 
A,G3000,THRD,PC,DE	65.00 	65.03 	62.25 	61.19 	63.05 	62.27 	91.03 	93.64 	93.73 	94.54 	78.76 	90.69 	95.14 	49.94 
A,G3000,THRD,PC,DK	0.00 	6.35 	9.64 	5.89 	8.93 	10.18 	9.13 	7.79 	6.42 	3.44 	0.05 	0.05 	18.36 	81.91 
A,G3000,THRD,PC,EE	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	98.47 	99.77 	99.03 	46.04 	11.47 	0.00 	0.00 
A,G3000,THRD,PC,EL	99.77 	99.04 	97.63 	99.54 	97.09 	99.82 	99.22 	99.79 	99.70 	95.66 	96.69 	99.41 	99.31 	96.79 
A,G3000,THRD,PC,ES	98.78 	97.96 	94.55 	94.23 	95.26 	93.95 	96.77 	95.63 	96.57 	91.95 	90.98 	93.97 	94.59 	92.95 
A,G3000,THRD,PC,FI	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	98.89 	99.12 	99.24 	67.70 	74.78 	50.19 	90.78 
A,G3000,THRD,PC,FR	79.43 	78.86 	77.91 	78.35 	78.25 	77.12 	80.44 	82.73 	84.96 	87.99 	84.29 	85.41 	93.35 	89.10 
A,G3000,THRD,PC,GE	: 	: 	: 	99.73 	99.55 	99.56 	99.72 	99.65 	99.58 	99.64 	99.67 	99.43 	99.57 	: 
A,G3000,THRD,PC,HR	27.53 	0.00 	0.00 	5.53 	0.00 	0.00 	0.00 	0.05 	0.03 	0.05 	0.00 	48.99 	67.08 	69.84 
A,G3000,THRD,PC,HU	73.38 	66.64 	74.39 	75.91 	83.80 	71.42 	78.88 	85.35 	77.94 	88.01 	75.62 	67.21 	86.90 	75.14 
A,G3000,THRD,PC,IE	95.03 	95.27 	95.21 	95.74 	96.24 	96.33 	40.03 	32.68 	38.78 	52.99 	63.58 	71.26 	73.93 	77.46 
A,G3000,THRD,PC,IT	79.48 	76.10 	78.00 	79.13 	73.13 	77.21 	83.74 	90.33 	90.40 	91.01 	90.58 	93.30 	94.11 	90.21 
A,G3000,THRD,PC,LT	99.71 	100.00 	100.00 	100.00 	100.00 	99.72 	100.00 	99.38 	99.00 	99.97 	99.12 	100.00 	100.00 	94.62 
A,G3000,THRD,PC,LU	86.40 	86.40 	86.40 	100.00 	100.00 	100.00 	100.00 	76.24 	69.68 	47.68 	57.98 	70.18 	61.15 	37.06 
A,G3000,THRD,PC,LV	61.78 	100.00 	100.00 	100.00 	72.12 	98.57 	82.89 	100.00 	98.83 	100.00 	100.00 	99.97 	22.51 	0.00 
A,G3000,THRD,PC,MD	99.84 	99.99 	99.99 	99.80 	99.99 	99.75 	99.89 	99.84 	99.99 	99.84 	99.71 	98.60 	89.51 	10.04 
A,G3000,THRD,PC,ME	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,G3000,THRD,PC,MK	100.00 	100.00 	100.00 	100.00 	99.86 	100.00 	100.00 	100.00 	100.00 	99.96 	99.99 	99.97 	100.00 	99.97 
A,G3000,THRD,PC,MT	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	97.19 	100.00 	100.00 	96.17 	100.00 	100.00 	93.34 
A,G3000,THRD,PC,NL	20.68 	20.26 	21.94 	21.05 	26.29 	39.17 	41.13 	29.47 	42.77 	48.07 	53.45 	46.88 	60.56 	69.00 
A,G3000,THRD,PC,PL	62.19 	61.14 	57.46 	56.19 	55.14 	53.25 	63.44 	60.45 	61.93 	60.58 	61.34 	65.87 	47.93 	73.41 
A,G3000,THRD,PC,PT	100.00 	100.00 	99.73 	100.00 	100.00 	100.00 	98.57 	100.00 	100.00 	98.47 	99.28 	100.00 	98.21 	97.53 
A,G3000,THRD,PC,RO	16.47 	19.04 	17.91 	10.85 	4.44 	1.63 	12.89 	9.79 	10.60 	7.63 	7.88 	21.11 	3.32 	0.83 
A,G3000,THRD,PC,RS	74.98 	63.95 	42.01 	78.04 	69.02 	75.25 	75.58 	81.69 	82.11 	83.76 	79.64 	78.65 	90.06 	89.41 
A,G3000,THRD,PC,SE	0.00 	0.46 	0.00 	0.00 	0.00 	0.00 	0.00 	18.39 	13.91 	14.63 	24.09 	14.96 	16.91 	18.71 
A,G3000,THRD,PC,SI	79.44 	70.83 	57.86 	57.78 	37.84 	30.88 	37.77 	24.76 	31.90 	11.68 	8.64 	14.62 	12.33 	28.14 
A,G3000,THRD,PC,SK	98.27 	97.93 	89.90 	95.35 	97.92 	95.05 	92.85 	97.40 	89.56 	98.19 	88.05 	75.19 	99.12 	98.91 
A,G3000,THRD,PC,XK	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,O4000XBIO,THRD,PC,AL	59.57 	45.46 	15.57 	56.03 	52.60 	48.98 	53.66 	54.12 	23.59 	27.80 	21.80 	31.70 	40.03 	42.10 
A,O4000XBIO,THRD,PC,AT	45.08 	51.99 	53.59 	53.70 	54.33 	55.08 	50.08 	50.09 	55.39 	56.06 	54.44 	53.02 	40.16 	56.11 
A,O4000XBIO,THRD,PC,BE	70.73 	67.60 	72.84 	67.73 	71.36 	70.86 	71.49 	72.40 	71.51 	74.30 	73.25 	67.83 	68.10 	68.70 
A,O4000XBIO,THRD,PC,BG	83.44 	87.24 	85.45 	85.51 	84.55 	84.05 	86.13 	87.00 	85.75 	86.78 	82.84 	81.79 	90.85 	88.13 
A,O4000XBIO,THRD,PC,CY	52.86 	53.93 	51.39 	50.12 	36.11 	37.56 	33.34 	36.79 	38.72 	38.66 	29.19 	33.84 	44.38 	31.11 
A,O4000XBIO,THRD,PC,CZ	71.65 	66.01 	68.38 	64.59 	67.26 	64.19 	51.66 	65.53 	63.01 	65.72 	59.45 	59.91 	64.72 	64.34 
