freq,siec,partner,unit,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 
A,G3000,QA,PC,EE	0.00 i	0.00 i	0.03 i	0.00 i	0.00 i	0.00 i
A,G3000,QA,PC,EL	0.67 i	0.32 i	3.75 i	2.52 i	10.55 i	12.26 i
A,G3000,QA,PC,ES	9.38 i	7.98 i	10.18 i	9.74 i	11.83 i	8.95 i
A,G3000,QA,PC,FI	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,QA,PC,FR	1.87 i	2.00 i	4.36 i	3.10 i	4.49 i	1.77 i
A,G3000,QA,PC,GE	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,QA,PC,HR	0.00 i	0.00 i	0.01 i	0.00 i	0.01 i	0.00 i
A,G3000,QA,PC,HU	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,QA,PC,IE	14.63 i	10.89 i	6.45 i	3.27 i	10.21 i	0.00 i
A,G3000,QA,PC,IS	: m	: m	: m	: m	: m	: m
A,G3000,QA,PC,IT	9.39 i	8.47 i	9.68 i	9.64 i	9.25 i	10.49 i
A,G3000,QA,PC,LI	: m	: m	0.01 i	: m	0.00 i	0.00 i
A,G3000,QA,PC,LT	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,QA,PC,LU	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,QA,PC,LV	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,QA,PC,MD	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,QA,PC,ME	: m	: m	: m	: m	: m	: m
A,G3000,QA,PC,MK	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,QA,PC,MT	: m	: m	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,QA,PC,NL	: m	: m	: m	0.37 i	1.62 i	0.46 i
A,G3000,QA,PC,NO	: m	: m	: m	: m	: m	: m
A,G3000,QA,PC,PL	1.07 i	7.07 i	10.02 i	14.85 i	13.42 i	13.37 i
A,G3000,QA,PC,PT	5.01 i	8.22 i	9.35 i	11.63 i	10.79 i	2.30 i
A,G3000,QA,PC,RO	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,QA,PC,RS	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,QA,PC,SE	0.00 i	0.00 i	0.26 i	0.79 i	1.43 i	0.03 i
A,G3000,QA,PC,SI	0.25 i	0.00 i	0.00 i	0.00 i	0.02 i	0.03 i
A,G3000,QA,PC,SK	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,QA,PC,TR	3.57 i	2.00 i	3.01 i	5.96 i	5.45 i	6.77 i
