freq,unit,siec,nace_r2,geo\TIME_PERIOD	2020 	2021 	2022 	2023 
A,GWH,E7000,E39,DE	: 	: 	0.000 	0.000 
A,GWH,E7000,E39,DK	0.000 	0.000 	0.000 	0.000 
A,GWH,E7000,E39,EE	: 	: 	0.000 	0.000 
A,GWH,E7000,E39,FR	: 	: 	32.823 	32.475 
A,GWH,E7000,E39,HR	: 	: 	0.000 	0.000 
A,GWH,E7000,E39,HU	: 	: 	0.000 	0.000 
A,GWH,E7000,E39,IE	0.000 	0.000 	0.000 	0.000 
A,GWH,E7000,E39,IT	: 	: 	0.000 	0.000 
A,GWH,E7000,E39,LT	: 	: 	0.000 	0.000 
A,GWH,E7000,E39,LU	: 	: 	0.000 	0.000 
A,GWH,E7000,E39,LV	0.000 	0.000 	0.000 	0.000 
A,GWH,E7000,E39,MD	: 	: 	0.000 	0.000 
A,GWH,E7000,E39,ME	0.000 	0.000 	0.000 	0.000 
A,GWH,E7000,E39,MT	: 	: @C	: @C	: @C
A,GWH,E7000,E39,NL	: 	: 	0.000 	0.000 
A,GWH,E7000,E39,NO	: 	: 	0.000 	0.000 
A,GWH,E7000,E39,PL	: 	: 	0.000 	0.000 
A,GWH,E7000,E39,PT	: 	: 	0.336 	0.295 
A,GWH,E7000,E39,RO	: 	: 	: 	0.000 
A,GWH,E7000,E39,SE	: 	: 	0.000 	0.000 
A,GWH,E7000,E39,SI	: 	: 	2.337 	2.404 
A,GWH,E7000,E39,SK	: 	: 	0.000 	0.000 
A,GWH,E7000,E39,TR	: 	: 	: 	0.000 
A,GWH,E7000,G,AL	: 	: 	: 	8.200 
A,GWH,E7000,G,AT	: 	: 	2338.295 	2218.207 
A,GWH,E7000,G,BE	: 	: 	4782.100 	4893.500 
A,GWH,E7000,G,BG	: 	: 	1934.468 	1929.027 
A,GWH,E7000,G,CZ	: 	: 	3277.800 	2855.455 
A,GWH,E7000,G,DE	: 	: 	23045.508 	23508.113 
A,GWH,E7000,G,DK	1490.819 	1481.820 	1438.180 	1362.478 
A,GWH,E7000,G,EE	: 	: 	665.992 	481.915 
A,GWH,E7000,G,FR	: 	: 	24722.203 	22830.895 
A,GWH,E7000,G,HR	: 	: 	1690.828 	1774.610 
A,GWH,E7000,G,HU	: 	: 	2515.522 	2258.894 
A,GWH,E7000,G,IE	2337.743 	2313.698 	2085.021 	2117.164 
A,GWH,E7000,G,IT	: 	: 	21364.389 	20278.647 
A,GWH,E7000,G,LT	: 	: 	894.700 	997.100 
A,GWH,E7000,G,LU	: 	: 	327.946 	342.185 e
A,GWH,E7000,G,LV	449.641 	465.325 	416.388 	397.621 
A,GWH,E7000,G,MD	: 	: 	366.960 	390.550 
A,GWH,E7000,G,ME	256.651 	252.880 	261.599 	274.489 
A,GWH,E7000,G,MT	: 	172.363 	180.102 	176.784 
A,GWH,E7000,G,NL	: 	: 	8102.751 	7983.377 
A,GWH,E7000,G,NO	: 	: 	4154.248 	4072.229 
A,GWH,E7000,G,PL	: 	: 	18135.921 	17756.725 
A,GWH,E7000,G,PT	: 	: 	3715.161 	3752.370 
A,GWH,E7000,G,RO	: 	: 	: 	2888.207 
A,GWH,E7000,G,SE	: 	: 	5265.000 	5037.000 
A,GWH,E7000,G,SI	: 	: 	720.240 	743.226 
A,GWH,E7000,G,SK	: 	: 	127.770 	707.030 
A,GWH,E7000,G,TR	: 	: 	: 	32283.580 
A,GWH,E7000,G45,AL	: 	: 	: 	0.000 
A,GWH,E7000,G45,AT	: 	: 	266.536 	252.848 
A,GWH,E7000,G45,BE	: 	: 	482.900 	497.900 
A,GWH,E7000,G45,BG	: 	: 	91.031 	88.504 
A,GWH,E7000,G45,CZ	: 	: 	201.000 	170.985 
A,GWH,E7000,G45,DE	: 	: 	241.959 	236.054 
A,GWH,E7000,G45,DK	279.383 	276.201 	269.612 	266.596 
A,GWH,E7000,G45,EE	: 	: 	0.000 	26.221 
A,GWH,E7000,G45,FR	: 	: 	1801.520 	1731.516 
