freq,nrg_bal,siec,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,FC_OTH_HH_E,E7000,TJ,EE	7283.840 	6963.397 	7042.608 	6714.961 	6261.293 	6221.686 	6887.779 	6985.001 	6696.493 	7451.989 	7192.800 	8024.400 	7080.761 	7787.628 
A,FC_OTH_HH_E,E7000,TJ,EL	0.000 	0.000 	0.000 	62806.000 	0.000 	63136.440 	71988.840 	70660.267 	60345.396 	62559.140 	62950.324 	63776.876 	59693.508 	54465.361 
A,FC_OTH_HH_E,E7000,TJ,ES	272442.888 	273983.679 	270315.300 	255814.580 	254554.587 	252247.000 	250731.408 	257013.374 	270020.101 	262730.142 	263604.937 	263334.938 	262650.942 	263344.298 
A,FC_OTH_HH_E,E7000,TJ,EU27_2020	1653126.671 	1583794.561 	1623760.763 	1693807.224 	1536690.735 	2407885.690 	2522746.341 	2544763.460 	2541912.929 	2534756.040 	2560469.999 	2685392.980 	2547378.626 	2489122.182 
A,FC_OTH_HH_E,E7000,TJ,FI	0.000 	0.000 	0.000 	0.000 	0.000 	75304.800 	81064.800 	81043.200 	82425.600 	81165.600 	79347.600 	87339.600 	81766.800 	79520.400 
A,FC_OTH_HH_E,E7000,TJ,FR	581472.000 	532908.659 	576317.452 	605265.210 	542933.975 	566286.174 	587174.767 	580042.408 	576849.110 	574999.477 	581394.715 	611194.230 	558677.952 	542681.320 
A,FC_OTH_HH_E,E7000,TJ,GE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	8557.016 	8859.229 	8942.400 	8859.600 	9234.000 	7341.146 	9655.202 	9903.532 
A,FC_OTH_HH_E,E7000,TJ,HR	23671.080 	23243.040 	23041.800 	22139.280 	21461.400 	22021.560 	21735.360 	22227.840 	22016.160 	22043.880 	21575.160 	23410.800 	23271.516 	23115.492 
A,FC_OTH_HH_E,E7000,TJ,HU	0.000 	0.000 	0.000 	0.000 	0.000 	39020.400 	39434.400 	40495.406 	40931.996 	41825.002 	44190.000 	44910.000 	44453.002 	45114.998 
A,FC_OTH_HH_E,E7000,TJ,IE	0.000 	0.000 	0.000 	0.000 	0.000 	28370.740 	28341.886 	28630.264 	29388.737 	29181.618 	31283.564 	31495.475 	29571.826 	29097.166 
A,FC_OTH_HH_E,E7000,TJ,IT	0.000 	0.000 	0.000 	0.000 	0.000 	238273.200 	231494.400 	235766.516 	234496.062 	236116.811 	238361.933 	241630.866 	232704.112 	228286.742 
A,FC_OTH_HH_E,E7000,TJ,LT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	10215.360 	10744.200 	10485.720 	10959.120 	12276.720 	11840.760 	11330.280 
A,FC_OTH_HH_E,E7000,TJ,LU	2934.551 	3065.796 	3299.198 	3525.062 	3639.262 	3561.433 	3512.830 	3489.901 	3341.945 	3273.728 	3419.345 	3385.980 	3362.587 	3314.372 
A,FC_OTH_HH_E,E7000,TJ,LV	6976.800 	6379.200 	6393.600 	6418.800 	6289.200 	6332.400 	6454.800 	5963.306 	6012.299 	5937.775 	6303.661 	6465.568 	6066.104 	5939.294 
A,FC_OTH_HH_E,E7000,TJ,MD	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	5889.600 	5911.200 	6015.600 	6228.000 	6570.000 	6285.600 	6008.400 
A,FC_OTH_HH_E,E7000,TJ,ME	4608.000 	4320.000 	4716.000 	4597.200 	4255.200 	4474.800 	4503.600 	4629.240 	4579.560 	4645.440 	4467.960 	4811.040 	4943.880 	5271.840 
